chemicalComposition,Equation,activationEnergy,reactionEnergy,facet
Ir24,Os(g) + * -> Os*,,-5.01908813479,111
ReRh36,Rh(g) + * -> Rh*,,-5.50915960121,211
Ir26Os,Ir(g) + * -> Ir*,,-7.28904949447,100
Pd26Ru,Ru(g) + * -> Ru*,,-5.27017982976,100
Cu25,Rh(g) + * -> Rh*,,-4.31958914135,111
Pd26,Pt(g) + * -> Pt*,,-5.32591670568,100
Os2Pd25,Os(g) + * -> Os*,,-6.87070513019,100
Ag24Au2,Ag(g) + * -> Ag*,,-2.2792877218,111
Ag26,Pd(g) + * -> Pd*,,-2.88984943245,100
Pt24Rh2,Pt(g) + * -> Pt*,,-4.71604732067,100
OsRh25,Os(g) + * -> Os*,,-6.89887421991,100
Cu24Os2,Os(g) + * -> Os*,,-6.86862890149,100
AgPd24,Pd(g) + * -> Pd*,,-2.7665113807,111
Au24Rh,Rh(g) + * -> Rh*,,-4.0395939894,100
Ir24,Ag(g) + * -> Ag*,,-2.47553820359,100
Cu25Ir,Cu(g) + * -> Cu*,,-3.77345637133,111
Ir25,Re(g) + * -> Re*,,-6.91522009892,100
CuPt25,Pt(g) + * -> Pt*,,-5.24618319774,100
Ag25Rh,Rh(g) + * -> Rh*,,-3.39722046889,100
Ir25Re,Re(g) + * -> Re*,,-7.5653639665,111
PdPt25,Pd(g) + * -> Pd*,,-3.5287011875,111
Ag24Re2,Ag(g) + * -> Ag*,,-3.01281169501,100
AuCu37,Au(g) + * -> Au*,,-3.2029157372,211
Cu27,Ir(g) + * -> Ir*,,-6.93080678029,111
Ir24Pd2,Pd(g) + * -> Pd*,,-3.65957835756,100
Pd24Re2,Pd(g) + * -> Pd*,,-4.83671484712,100
Ir25Re,Re(g) + * -> Re*,,-6.28779726166,100
Ag2Au24,Au(g) + * -> Au*,,-2.49342914503,100
Rh24,Os(g) + * -> Os*,,-5.63762468607,100
Ag26Cu,Cu(g) + * -> Cu*,,-2.79311615595,100
Cu25,Ag(g) + * -> Ag*,,-2.08213116889,100
Pt37,Ag(g) + * -> Ag*,,-2.57032477763,211
Cu25Pt2,Cu(g) + * -> Cu*,,-3.99637367035,111
Ag2Ir25,Ir(g) + * -> Ir*,,-7.08872560436,100
Ir24Zn,Ir(g) + * -> Ir*,,-6.29163501936,100
Cu37Zn,Cu(g) + * -> Cu*,,-3.25160772153,211
AgPd25,Pd(g) + * -> Pd*,,-3.31896943721,111
Ag25Zn2,Ag(g) + * -> Ag*,,-2.20594079397,100
Ir26Rh,Rh(g) + * -> Rh*,,-6.87825043908,111
Au36Os2,Os(g) + * -> Os*,,-5.61721934464,211
Ir26Pd,Pd(g) + * -> Pd*,,-4.17807551711,100
Cu26,Re(g) + * -> Re*,,-4.03765511018,111
Au26Os,Os(g) + * -> Os*,,-6.31424693202,100
Ag25Ru,Ag(g) + * -> Ag*,,-2.75596349954,100
Cu26Os,Cu(g) + * -> Cu*,,-3.51828888705,100
CuIr25,Cu(g) + * -> Cu*,,-3.64303519604,100
Ag25Re2,Ag(g) + * -> Ag*,,-3.20935755638,111
CuIr26,Cu(g) + * -> Cu*,,-4.23073859495,111
Pd2Rh36,Rh(g) + * -> Rh*,,-5.4876444434,211
Ir24Rh3,Rh(g) + * -> Rh*,,-5.88867787697,100
Ir26,Cu(g) + * -> Cu*,,-3.91433345329,111
Cu3Ir24,Ir(g) + * -> Ir*,,-6.35215837791,100
Au25Pd,Au(g) + * -> Au*,,-2.84037410033,111
OsPd26,Os(g) + * -> Os*,,-8.01603103438,111
Pd24,Os(g) + * -> Os*,,-3.44189156295,111
Ir37Pt,Pt(g) + * -> Pt*,,-5.94376508106,211
Pt26,Ag(g) + * -> Ag*,,-2.80815146661,111
IrPd24,Ir(g) + * -> Ir*,,-5.86757381517,111
Au24Os3,Au(g) + * -> Au*,,-2.3038737524,111
Ir24Rh,Rh(g) + * -> Rh*,,-5.19977213968,111
AuPd24,Au(g) + * -> Au*,,-3.02557846051,100
Ag25Ir,Ir(g) + * -> Ir*,,-3.63117232466,100
OsRh25,Rh(g) + * -> Rh*,,-6.48675099049,100
Ag24Cu3,Cu(g) + * -> Cu*,,-2.8326836187,100
Ag2Cu25,Ag(g) + * -> Ag*,,-1.79750212209,111
Ag26,Cu(g) + * -> Cu*,,-2.63552033096,111
Rh24Ru2,Rh(g) + * -> Rh*,,-6.52138829448,100
IrPt25,Ir(g) + * -> Ir*,,-6.70596502407,111
Cu25Os,Cu(g) + * -> Cu*,,-4.17627929361,100
Ir26Rh,Ir(g) + * -> Ir*,,-7.4590378604,100
Ag37Os,Os(g) + * -> Os*,,-5.85311123615,211
Au25Ru,Ru(g) + * -> Ru*,,-4.88572452439,100
Ag25Cu,Ag(g) + * -> Ag*,,-2.21200777634,111
Pt27,Re(g) + * -> Re*,,-7.34626340437,111
Pd25Pt,Pd(g) + * -> Pd*,,-3.29401129088,100
Pt38,Pd(g) + * -> Pd*,,-3.74118509726,211
CuRh25,Cu(g) + * -> Cu*,,-3.50677677046,100
Ag3Pt24,Ag(g) + * -> Ag*,,-2.51666079697,100
Ag25Os2,Os(g) + * -> Os*,,-8.80588298281,100
Ir25Zn2,Ir(g) + * -> Ir*,,-6.350769985,100
Pt24,Ir(g) + * -> Ir*,,-5.54915741198,100
Pt26,Ru(g) + * -> Ru*,,-6.1728857595,100
Ag24Ir2,Ag(g) + * -> Ag*,,-2.13834852983,111
Au25Ru2,Au(g) + * -> Au*,,-3.54457678572,111
Ag38,Pt(g) + * -> Pt*,,-4.62626648499,211
Pd36,Pt(g) + * -> Pt*,,-4.25398691389,211
Pd25Ru2,Pd(g) + * -> Pd*,,-4.21402556634,100
Pd25Zn,Pd(g) + * -> Pd*,,-3.42584732216,111
Au2Ir25,Au(g) + * -> Au*,,-3.09067952233,100
Au25Pt2,Au(g) + * -> Au*,,-3.01350000698,100
Pt26,Os(g) + * -> Os*,,-5.93295161678,100
Pt26Rh,Pt(g) + * -> Pt*,,-5.340676297,100
Pt24Rh,Pt(g) + * -> Pt*,,-4.92965506064,100
Ag26,Pd(g) + * -> Pd*,,-3.42555085411,100
Pt27,Re(g) + * -> Re*,,-6.55203926662,100
CuPd25,Pd(g) + * -> Pd*,,-3.13971396198,100
Cu26,Pd(g) + * -> Pd*,,-3.54155761449,100
IrRh24,Ir(g) + * -> Ir*,,-6.83569700301,100
IrRh24,Ir(g) + * -> Ir*,,-5.3727700848,100
AgIr24,Ir(g) + * -> Ir*,,-5.95141447349,100
Au26Cu,Cu(g) + * -> Cu*,,-2.91254563237,100
Ir25,Cu(g) + * -> Cu*,,-3.29394686794,100
Cu25Rh,Rh(g) + * -> Rh*,,-4.48108177271,100
Ir25,Cu(g) + * -> Cu*,,-3.41684014961,111
Cu2Ir25,Cu(g) + * -> Cu*,,-4.05126182313,111
Ir25Rh2,Rh(g) + * -> Rh*,,-6.71529104601,111
Ir2Rh25,Rh(g) + * -> Rh*,,-5.96577473772,100
Cu26,Rh(g) + * -> Rh*,,-5.44635640475,100
Au37,Ag(g) + * -> Ag*,,-2.14411700331,211
AuIr24,Au(g) + * -> Au*,,-2.78708407216,111
Pd2Pt25,Pt(g) + * -> Pt*,,-5.01420409934,100
AgCu24,Ag(g) + * -> Ag*,,-2.11970199621,100
Au24Os3,Os(g) + * -> Os*,,-6.11288104996,100
Pt24Re3,Re(g) + * -> Re*,,-7.53046298416,100
Pt24Re,Re(g) + * -> Re*,,-5.89194589625,111
Au25,Ir(g) + * -> Ir*,,-4.49113665164,100
Pt36Re,Pt(g) + * -> Pt*,,-5.25487458216,211
Ir24Ru2,Ir(g) + * -> Ir*,,-8.00413272019,100
Pd36Pt,Pd(g) + * -> Pd*,,-3.17880087168,211
IrRh36,Rh(g) + * -> Rh*,,-5.29751577493,211
